transaction_id,customer_id,city,region,country_code,transaction_type,amount,hour,new_device,new_recipient,frequency_1h,frequency_24h,deviation_score,scenario_tr,label,is_fraud,split
b216bac1-8257-5bd8-896b-840a996205d5,3b56cb68-e7bc-5eb9-b9a3-a06ecb845c0b,ANKARA,IC_ANADOLU,TR,FATURA,1296.14,13,False,False,1,6,0.5107,Müşterinin olağan davranışına uygun işlem.,TEMIZ,0,holdout
ae3e815f-f584-5275-ab72-2f8e4c7fd8a5,8f8d983e-9ecb-57dc-bda7-d7e70a102155,BURSA,MARMARA,TR,FATURA,506.02,10,True,False,0,3,1.4462,Müşterinin olağan davranışına uygun işlem.,TEMIZ,0,train
0d490163-f506-5c3f-979a-2c96edea1cdf,9759f12b-df6d-5b42-9638-84ea8ad070c7,IZMIR,EGE,TR,FATURA,2363.06,14,False,False,1,5,0.1122,Müşterinin olağan davranışına uygun işlem.,TEMIZ,0,validation
9823a2c8-5f0b-512e-923e-e922e0457ed6,3c7c10f1-6bf1-5cb8-95f7-8c3f0c9c943a,DIYARBAKIR,GUNEYDOGU_ANADOLU,TR,CEKIM,1704.5,14,False,False,2,5,0.3868,Müşterinin olağan davranışına uygun işlem.,TEMIZ,0,train
c5ce766e-9954-516d-85ec-189a72f51a30,5394f6d5-0bcd-5db0-83e2-10b22f9991c5,MALATYA,DOGU_ANADOLU,TR,CEKIM,636.09,9,False,False,0,3,1.0402,Müşterinin olağan davranışına uygun işlem.,TEMIZ,0,train
9844a4dd-69f2-5788-8fd4-f63bbcdf309b,95ff0a89-3571-5c5b-a209-0b668540a87f,KAYSERI,IC_ANADOLU,TR,CEKIM,1407.0,13,False,False,0,2,0.5766,Müşterinin olağan davranışına uygun işlem.,TEMIZ,0,train
3d93e052-e359-5139-8c62-b2710fb80095,34aba7b8-6ee6-5ad9-a1bc-3ed1dbb7ad72,MALATYA,DOGU_ANADOLU,TR,FATURA,318360.95,18,False,True,4,5,4.803,Yeni alıcıya yüksek tutarlı olağan dışı işlem.,SUPHELI_DAVRANIS,1,train
46f1b8a7-38f0-5ddb-9b1b-ecb6042d4a21,ab75be08-e7fe-592d-a9c5-526e6eed623a,MALATYA,DOGU_ANADOLU,TR,ODEME,1914.98,17,False,False,2,3,0.4603,Müşterinin olağan davranışına uygun işlem.,TEMIZ,0,train
50431b05-2728-5735-a696-de1e7d944189,8b4609ff-d6d6-5dc5-8395-8d91f6d0ccd6,MALATYA,DOGU_ANADOLU,TR,ODEME,2547.72,18,True,False,1,6,0.1863,Müşterinin olağan davranışına uygun işlem.,TEMIZ,0,train
ab3cd0a3-6cb7-51d2-8476-3c8bb050cfe7,29fe3d5f-eadc-54a4-adb5-a186108e8b81,MANISA,EGE,TR,ODEME,328.25,14,False,True,1,3,0.0437,Müşterinin olağan davranışına uygun işlem.,TEMIZ,0,train
