amount,transaction_type,location,receiver,device,country_code,hour,is_new_device,is_new_recipient,label
33387.46,ODEME,"Tbilisi, GE",Aile Transferi,Bilinmeyen iPhone,,17,1,0,CALINTI_KART
1327.69,ODEME,"Ankara, TR",Market Harcama,Android bilinen cihaz,TR,17,0,0,TEMIZ
59260.9,ODEME,"Amsterdam, NL",Restoran,Bilinmeyen iPhone,,2,0,1,CALINTI_KART
376.03,FATURA,"Ankara, TR",Sigorta Fatura,Android bilinen cihaz,TR,13,0,0,TEMIZ
4313.47,FATURA,"İstanbul, TR",Telekom Fatura,iPhone 13 bilinen cihaz,TR,11,0,0,TEMIZ
717.56,FATURA,"Ankara, TR",Telekom Fatura,Paycell kayıtlı cihaz,TR,17,0,0,TEMIZ
2039.36,FATURA,"Manisa, TR",Sigorta Fatura,Web güvenilir tarayıcı,TR,18,0,0,TEMIZ
106131.25,TRANSFER,"London, UK",Yeni Alıcı,Yeni web oturumu,,9,1,1,PARA_AKLAMA
13900.13,ODEME,"Amsterdam, NL",New Recipient Ltd,Bilinmeyen iPhone,,23,1,1,CALINTI_KART
2587.45,FATURA,"İzmir, TR",Sigorta Fatura,Paycell kayıtlı cihaz,TR,8,0,0,TEMIZ
3655.97,ODEME,"Manisa, TR",Elektrik Fatura,Android bilinen cihaz,TR,19,0,0,TEMIZ
43273.76,ODEME,"Dubai, AE",Offshore Services,Yeni web oturumu,TR,3,1,1,HESAP_ELE_GECIRME
13391.12,ODEME,"Amsterdam, NL",Yeni Alıcı,Yeni web oturumu,TR,17,0,1,CALINTI_KART
73058.2,CEKIM,"İzmir, TR",Kripto Exchange,Yeni cihaz,TR,23,1,1,CALINTI_KART
33410.4,CEKIM,"Dubai, AE",Sigorta Fatura,Android bilinen cihaz,TR,13,1,1,SUPHELI_DAVRANIS
1560.83,ODEME,"İstanbul, TR",Telekom Fatura,Android bilinen cihaz,TR,12,0,0,TEMIZ
